운동명,카테고리,영상URL
스쿼트,근력,https://youtu.be/6ulvd_mw_uo
런지,근력,https://youtu.be/6ulvd_mw_uo
힙브릿지,근력,https://youtu.be/6ulvd_mw_uo
푸시업,근력,https://youtu.be/6ulvd_mw_uo
밴드 로우,근력,https://youtu.be/6ulvd_mw_uo
플랭크,코어,https://youtu.be/clifZdPnX9E
사이드 플랭크,코어,https://youtu.be/clifZdPnX9E
크런치,코어,https://youtu.be/clifZdPnX9E
전신 스트레칭,스트레칭,https://youtu.be/2gHcoelhHw0
고관절 열기 스트레칭,스트레칭,https://youtu.be/2gHcoelhHw0
요가 루틴,요가,https://youtu.be/YevYZNaPgEw
비둘기 자세,요가,https://youtu.be/YevYZNaPgEw
전굴,요가,https://youtu.be/YevYZNaPgEw
고양이-소,요가,https://youtu.be/YevYZNaPgEw
빠르게 걷기,유산소,https://youtu.be/DuSIEmcodeU
인터벌 러닝,유산소,https://youtu.be/DuSIEmcodeU
조깅,유산소,https://youtu.be/DuSIEmcodeU
버피,유산소,https://youtu.be/DuSIEmcodeU
점핑잭,유산소,https://youtu.be/DuSIEmcodeU
